isolate	fc	logfc	fc_0.1	fc_0.2	fc_0.33	fc_0.66	fc_0.8	fc_0.9
RV252	0.0262	-5.254289378011999	0	0	0	0	0	0
RV254	0.1884	-2.408129129936666	1	1	1	0	0	0
RV255	0.188	-2.41119543298445	1	1	1	0	0	0
RV256	0.306	-1.7083964419694353	1	1	1	0	0	0
RV257	0.0712	-3.8119789485830515	1	0	0	0	0	0
RV258	0.1302	-2.941198646383814	1	1	0	0	0	0
RV259	0.496	-1.0115879742752119	1	1	1	1	0	0
RV260	0.188	-2.41119543298445	1	1	1	0	0	0
RV261	0.17	-2.5563933485243853	1	1	1	0	0	0
RV264	0.152	-2.7178567712185018	1	1	1	0	0	0
RV265	0.274	-1.8677522017015602	1	1	1	0	0	0
RV266	0.478	-1.0649174766813385	1	1	1	1	0	0
RV267	0.478	-1.0649174766813385	1	1	1	1	0	0
RV269	0.346	-1.5311560570253624	1	1	1	0	0	0
RV272	0.286	-1.8059129478836977	1	1	1	0	0	0
RV273	0.374	-1.4188898247744504	1	1	1	1	0	0
RV274	0.194	-2.365871442474959	1	1	1	0	0	0
RV277	0.2062	-2.2778837621813413	1	1	1	0	0	0
RV279	0.029	-5.107803289534515	0	0	0	0	0	0
RV280	0.388	-1.3658714424749594	1	1	1	1	0	0
RV281	0.0306	-5.0303245368567975	0	0	0	0	0	0
RV282	0.182	-2.4579896444633906	1	1	1	0	0	0
RV283	0.544	-0.8783214434117476	1	1	1	1	0	0
RV286	0.404	-1.3075728019102923	1	1	1	1	0	0
